|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    1|      0 |
|1+  |     0|1110110000010000|  0  |  12345|   0   |12345|    1|  12345 |
|2   |     0|1110110000010000|  0  |  12345|   0   |12345|    2|  12345 |
|2+  |     0|0101101110100000|  0  |     -1|   0   |12345|    2|  12345 |
|3   |     0|0101101110100000|  0  |     -1|   0   |23456|    3|  12345 |
|3+  |     0|1110000111010000|  0  |  11111|   0   |23456|    3|  11111 |
|4   |     0|1110000111010000|  0  |  12345|   0   |23456|    4|  11111 |
|4+  |     0|0000001111101000|  0  | -11111|   0   |23456|    4|  11111 |
|5   |     0|0000001111101000|  0  | -11111|   0   | 1000|    5|  11111 |
|5+  |     0|1110001100001000|  0  |  11111|   1   | 1000|    5|  11111 |
|6   |     0|1110001100001000|  0  |  11111|   1   | 1000|    6|  11111 |
|6+  |     0|0000001111101001|  0  | -11111|   0   | 1000|    6|  11111 |
|7   |     0|0000001111101001|  0  | -11111|   0   | 1001|    7|  11111 |
|7+  |     0|1110001110011000|  0  |  11110|   1   | 1001|    7|  11110 |
|8   |     0|1110001110011000|  0  |  11109|   1   | 1001|    8|  11110 |
|8+  |     0|0000001111101000|  0  | -11110|   0   | 1001|    8|  11110 |
|9   |     0|0000001111101000|  0  | -11110|   0   | 1000|    9|  11110 |
|9+  | 11111|1111010011010000|  0  |     -1|   0   | 1000|    9|     -1 |
|10  | 11111|1111010011010000|  0  | -11112|   0   | 1000|   10|     -1 |
|10+ | 11111|0000000000001110|  0  |   1000|   0   | 1000|   10|     -1 |
|11  | 11111|0000000000001110|  0  |     14|   0   |   14|   11|     -1 |
|11+ | 11111|1110001100000100|  0  |     -1|   0   |   14|   11|     -1 |
|12  | 11111|1110001100000100|  0  |     -1|   0   |   14|   14|     -1 |
|12+ | 11111|0000001111100111|  0  |      1|   0   |   14|   14|     -1 |
|13  | 11111|0000001111100111|  0  |      1|   0   |  999|   15|     -1 |
|13+ | 11111|1110110111100000|  0  |   1000|   0   |  999|   15|     -1 |
|14  | 11111|1110110111100000|  0  |   1001|   0   | 1000|   16|     -1 |
|14+ | 11111|1110001100001000|  0  |     -1|   1   | 1000|   16|     -1 |
|15  | 11111|1110001100001000|  0  |     -1|   1   | 1000|   17|     -1 |
|15+ | 11111|0000000000010101|  0  |   1000|   0   | 1000|   17|   1000 |
